,,Ram Mahesh,India,Peanut Butter Cubes,"$3,794 ",159,,,,,,,,,,,,,,,,,,
,,Husein Augar,USA,Baker's Choco Chips,$98 ,159,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,India,Eclairs,"$5,019 ",156,,,,,,,,,,,,,,,,,,
,,Curtice Advani,Canada,Eclairs,"$4,970 ",156,,,,,,,,,,,,,,,,,,
,,Husein Augar,New Zealand,White Choc,"$4,305 ",156,,,,,,,,,,,,,,,,,,
,,Barr Faughny,Australia,Fruit & Nut Bars,"$4,417 ",153,,,,,,,,,,,,,,,,,,
,,Husein Augar,India,Caramel Stuffed Bars,"$14,329 ",150,,,,,,,,,,,,,,,,,,
,,Brien Boise,Canada,Fruit & Nut Bars,"$5,019 ",150,,,,,,,,,,,,,,,,,,
,,Curtice Advani,India,Eclairs,"$3,759 ",150,,,,,,,,,,,,,,,,,,
,,Brien Boise,New Zealand,70% Dark Bites,$42 ,150,,,,,,,,,,,,,,,,,,
,,Husein Augar,USA,Almond Choco,$959 ,147,,,,,,,,,,,,,,,,,,
,,Barr Faughny,UK,Caramel Stuffed Bars,"$6,027 ",144,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,New Zealand,Eclairs,"$3,983 ",144,,,,,,,,,,,,,,,,,,
,,Husein Augar,USA,Organic Choco Syrup,"$2,429 ",144,,,,,,,,,,,,,,,,,,
,,Carla Molina,India,After Nines,$336 ,144,,,,,,,,,,,,,,,,,,
,,Oby Sorrel,Australia,After Nines,"$2,205 ",141,,,,,,,,,,,,,,,,,,
,,Barr Faughny,UK,After Nines,"$1,568 ",141,,,,,,,,,,,,,,,,,,
,,Barr Faughny,New Zealand,Drinking Coco,"$11,571 ",138,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,India,Orange Choco,"$2,205 ",138,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,India,Organic Choco Syrup,"$2,289 ",135,,,,,,,,,,,,,,,,,,
,,Curtice Advani,Canada,Manuka Honey Choco,"$1,400 ",135,,,,,,,,,,,,,,,,,,
,,Curtice Advani,Australia,Peanut Butter Cubes,$959 ,135,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,UK,Manuka Honey Choco,$0 ,135,,,,,,,,,,,,,,,,,,
,,Carla Molina,USA,Organic Choco Syrup,$847 ,129,,,,,,,,,,,,,,,,,,
,,Oby Sorrel,Australia,Almond Choco,"$6,860 ",126,,,,,,,,,,,,,,,,,,
,,Carla Molina,India,Fruit & Nut Bars,"$4,935 ",126,,,,,,,,,,,,,,,,,,
,,Barr Faughny,UK,Peanut Butter Cubes,"$4,018 ",126,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,USA,Manuka Honey Choco,"$1,617 ",126,,,,,,,,,,,,,,,,,,
,,Brien Boise,USA,Peanut Butter Cubes,$357 ,126,,,,,,,,,,,,,,,,,,
,,Curtice Advani,India,Choco Coated Almonds,"$6,734 ",123,,,,,,,,,,,,,,,,,,
,,Curtice Advani,USA,70% Dark Bites,"$4,781 ",123,,,,,,,,,,,,,,,,,,
,,Carla Molina,New Zealand,Orange Choco,"$3,388 ",123,,,,,,,,,,,,,,,,,,
,,Curtice Advani,Australia,Milk Bars,"$2,317 ",123,,,,,,,,,,,,,,,,,,
,,Oby Sorrel,Australia,Milk Bars,$63 ,123,,,,,,,,,,,,,,,,,,
,,Curtice Advani,Canada,Almond Choco,"$10,073 ",120,,,,,,,,,,,,,,,,,,
,,Barr Faughny,India,99% Dark & Pure,"$7,511 ",120,,,,,,,,,,,,,,,,,,
,,Husein Augar,Australia,Mint Chip Choco,"$2,646 ",120,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,India,Fruit & Nut Bars,"$2,212 ",117,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,Canada,Smooth Sliky Salty,"$2,149 ",117,,,,,,,,,,,,,,,,,,
,,Barr Faughny,UK,Mint Chip Choco,"$2,016 ",117,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,USA,85% Dark Bars,"$2,793 ",114,,,,,,,,,,,,,,,,,,
,,Husein Augar,Canada,White Choc,"$2,142 ",114,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,New Zealand,70% Dark Bites,"$1,624 ",114,average,,,,,,,,,,,,,,,,,
,,Ches Bonnell,New Zealand,Eclairs,"$4,487 ",111,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,Canada,70% Dark Bites,"$1,526 ",105,,,,,,,,,,,,,,,,,,
,,Carla Molina,New Zealand,85% Dark Bars,"$6,398 ",102,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,Australia,Almond Choco,"$6,125 ",102,,,,,,,,,,,,,,,,,,
,,Husein Augar,Australia,White Choc,"$3,850 ",102,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,India,Manuka Honey Choco,"$2,891 ",102,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,UK,Caramel Stuffed Bars,"$1,652 ",102,,,,,,,,,,,,,,,,,,
,,Curtice Advani,New Zealand,Drinking Coco,"$1,505 ",102,,,,,,,,,,,,,,,,,,
,,Husein Augar,Australia,Baker's Choco Chips,"$2,436 ",99,,,,,,,,,,,,,,,,,,
,,Carla Molina,USA,99% Dark & Pure,$609 ,99,,,,,,,,,,,,,,,,,,
,,Husein Augar,New Zealand,Orange Choco,"$7,273 ",96,,,,,,,,,,,,,,,,,,
,,Oby Sorrel,USA,50% Dark Bites,"$3,472 ",96,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,India,White Choc,"$1,568 ",96,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,New Zealand,Organic Choco Syrup,"$6,132 ",93,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,India,Eclairs,"$2,919 ",93,,,,,,,,,,,,,,,,,,
,,Husein Augar,New Zealand,Fruit & Nut Bars,"$2,737 ",93,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,India,Peanut Butter Cubes,"$1,652 ",93,,,,,,,,,,,,,,,,,,
,,Oby Sorrel,India,White Choc,"$1,428 ",93,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,Canada,Peanut Butter Cubes,"$9,772 ",90,,,,,,,,,,,,,,,,,,
,,Husein Augar,India,Fruit & Nut Bars,"$8,155 ",90,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,Australia,White Choc,"$2,541 ",90,,,,,,,,,,,,,,,,,,
,,Husein Augar,Australia,Peanut Butter Cubes,"$9,506 ",87,,,,,,,,,,,,,,,,,,
,,Curtice Advani,New Zealand,Smooth Sliky Salty,"$7,693 ",87,,,,,,,,,,,,,,,,,,
,,Oby Sorrel,India,Eclairs,$700 ,87,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,Australia,Baker's Choco Chips,$609 ,87,,,,,,,,,,,,,,,,,,
,,Brien Boise,New Zealand,Spicy Special Slims,$434 ,87,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,Canada,Choco Coated Almonds,$280 ,87,,,,,,,,,,,,,,,,,,
,,Carla Molina,Canada,Choco Coated Almonds,"$10,304 ",84,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,USA,After Nines,$490 ,84,,,,,,,,,,,,,,,,,,
,,Brien Boise,Australia,After Nines,$168 ,84,,,,,,,,,,,,,,,,,,
,,Barr Faughny,UK,Organic Choco Syrup,"$7,812 ",81,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,UK,After Nines,"$6,909 ",81,,,,,,,,,,,,,,,,,,
,,Brien Boise,USA,70% Dark Bites,"$3,598 ",81,,,,,,,,,,,,,,,,,,
,,Curtice Advani,New Zealand,70% Dark Bites,$560 ,81,,,,,,,,,,,,,,,,,,
,,Brien Boise,Australia,Spicy Special Slims,"$6,433 ",78,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,USA,Fruit & Nut Bars,"$2,023 ",78,,,,,,,,,,,,,,,,,,
,,Barr Faughny,Canada,Manuka Honey Choco,"$8,211 ",75,,,,,,,,,,,,,,,,,,
,,Curtice Advani,India,Manuka Honey Choco,"$3,339 ",75,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,India,Choco Coated Almonds,"$3,262 ",75,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,India,Fruit & Nut Bars,"$2,779 ",75,,,,,,,,,,,,,,,,,,
,,Curtice Advani,India,Mint Chip Choco,"$2,219 ",75,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,Australia,50% Dark Bites,"$1,281 ",75,,,,,,,,,,,,,,,,,,
,,Oby Sorrel,Canada,Milk Bars,$945 ,75,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,New Zealand,After Nines,$518 ,75,,,,,,,,,,,,,,,,,,
,,Curtice Advani,Australia,White Choc,$469 ,75,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,New Zealand,Manuka Honey Choco,"$9,002 ",72,,,,,,,,,,,,,,,,,,
,,Carla Molina,UK,50% Dark Bites,"$3,976 ",72,,,,,,,,,,,,,,,,,,
,,Husein Augar,UK,White Choc,"$3,192 ",72,,,,,,,,,,,,,,,,,,
,,Oby Sorrel,Canada,Organic Choco Syrup,"$1,407 ",72,,,,,,,,,,,,,,,,,,
,,Carla Molina,USA,Milk Bars,"$4,760 ",69,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,USA,Manuka Honey Choco,"$2,114 ",66,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,Canada,Milk Bars,"$6,146 ",63,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,USA,50% Dark Bites,"$4,606 ",63,,,,,,,,,,,,,,,,,,
,,Brien Boise,Australia,Organic Choco Syrup,"$2,268 ",63,,,,,,,,,,,,,,,,,,
,,Curtice Advani,UK,70% Dark Bites,"$1,638 ",63,,,,,,,,,,,,,,,,,,
,,Curtice Advani,Canada,Spicy Special Slims,$497 ,63,,,,,,,,,,,,,,,,,,
,,Husein Augar,Australia,85% Dark Bars,"$4,137 ",60,,,,,,,,,,,,,,,,,,
,,Husein Augar,Canada,70% Dark Bites,"$9,051 ",57,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,Australia,Milk Bars,"$7,189 ",54,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,New Zealand,70% Dark Bites,"$6,454 ",54,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,India,Baker's Choco Chips,"$3,108 ",54,,,,,,,,,,,,,,,,,,
,,Curtice Advani,Australia,Smooth Sliky Salty,"$2,681 ",54,,,,,,,,,,,,,,,,,,
,,Barr Faughny,New Zealand,50% Dark Bites,"$1,057 ",54,,,,,,,,,,,,,,,,,,
,,Barr Faughny,India,Milk Bars,$252 ,54,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,UK,Baker's Choco Chips,"$5,236 ",51,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,UK,Manuka Honey Choco,"$3,640 ",51,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,Australia,85% Dark Bars,$623 ,51,,,,,,,,,,,,,,,,,,
,,Barr Faughny,Australia,Milk Bars,$56 ,51,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,India,Baker's Choco Chips,"$6,748 ",48,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,New Zealand,Peanut Butter Cubes,"$6,391 ",48,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,India,Peanut Butter Cubes,"$2,226 ",48,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,USA,85% Dark Bars,"$1,638 ",48,,,,,,,,,,,,,,,,,,
,,Curtice Advani,India,Almond Choco,$525 ,48,,,,,,,,,,,,,,,,,,
,,Barr Faughny,Canada,Eclairs,$189 ,48,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,New Zealand,Smooth Sliky Salty,$182 ,48,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,Australia,White Choc,"$7,483 ",45,,,,,,,,,,,,,,,,,,
,,Brien Boise,New Zealand,Baker's Choco Chips,"$6,279 ",45,,,,,,,,,,,,,,,,,,
,,Husein Augar,New Zealand,Caramel Stuffed Bars,"$2,919 ",45,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,Australia,Manuka Honey Choco,"$2,541 ",45,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,Canada,After Nines,"$8,435 ",42,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,India,White Choc,"$6,300 ",42,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,UK,Raspberry Choco,"$5,775 ",42,,,,,,,,,,,,,,,,,,
,,Barr Faughny,New Zealand,Raspberry Choco,"$2,863 ",42,,,,,,,,,,,,,,,,,,
,,Gigi Bohling,Canada,Mint Chip Choco,"$16,184 ",39,,,,,,,,,,,,,,,,,,
,,Ches Bonnell,India,Eclairs,"$7,777 ",39,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,Canada,White Choc,"$3,339 ",39,,,,,,,,,,,,,,,,,,
,,Ram Mahesh,Australia,Smooth Sliky Salty,"$1,988 ",39,,,,,,,,,,,,,,,,,,
,,Carla Molina,India,Eclairs,"$1,463 ",39,,,,,,,,,,,,,,,,,,
,,Gunar Cockshoot,Canada,Mint Chip Choco,"$9,198 ",36,,,,,,,,,,,,,,,,,,
,,Curtice Advani,Australia,Spicy Special Slims,"$7,322 ",36,,,,,,,,,,,,,,,,,,
,,Barr Faughny,UK,Raspberry Choco,"$4,802 ",36,,,,,,,,,,,,,,,,,,
